id,speakers,previous,tokens,tags
1703,TL,ja die Erkenntnisse was auf dem Foto zu erkennen ist,brennbarer mit Wasser gefährlicher gährender Stoff alles Weitere müsst ihr von der Einsatzseite eruieren,2
1704,MC,brennbarer mit Wasser gefährlicher gährender Stoff alles Weitere müsst ihr von der Einsatzseite eruieren,ja die Bilder sind nicht so ganz scharf,2
1705,MC,ja die Bilder sind nicht so ganz scharf,kann er noch vielleicht mal eine bessere Auflösung schicken?,1
1706,TL,kann er noch vielleicht mal eine bessere Auflösung schicken?,ich kümmere mich drum,7
1707,TL,ich kümmere mich drum,UGV 2 von Teamleader,4
1708,UGV-2,UGV 2 von Teamleader,UGV 2 kommen,5
1709,TL,UGV 2 kommen,ja UGV 2 wir brauchen nochmal schärfere Bilder von dem Fass und der Kennzeichnung,1
1710,UGV-2,ja UGV 2 wir brauchen nochmal schärfere Bilder von dem Fass und der Kennzeichnung,ich habe Sie nicht gut verstanden können Sie wiederholen?,3
1711,TL,ich habe Sie nicht gut verstanden können Sie wiederholen?,ja von dem Fass brauchen wir nochmal bessere Bilder und auch von der Kennzeichnung,1
1712,UGV-2,ja von dem Fass brauchen wir nochmal bessere Bilder und auch von der Kennzeichnung,ja ich versuche nochmal zu dem Fass zu fahren,7
1713,UGV-2,ja ich versuche nochmal zu dem Fass zu fahren,es ist sehr verraucht mittlerweile,2
1714,UGV-2,es ist sehr verraucht mittlerweile,aber ich versuche bessere Bilder aufzunehmen,2
1715,UGV-1,aber ich versuche bessere Bilder aufzunehmen,der UGV 1 ist auch in der Nähe ich kann auch nochmal gucken,2
1716,UGV-2,der UGV 1 ist auch in der Nähe ich kann auch nochmal gucken,Teamleader vo- für UGV 2 kommen,4
1717,UGV-2,Teamleader vo- für UGV 2 kommen,vo- für,6
1718,MC,vo- für,Teamleader für Mission Commander,4
1719,TL,Teamleader für Mission Commander,Teamleader hört,5
1720,MC,Teamleader hört,nach den Fotos müsste die verletzte Person am linken Hochofen liegen und die UGV 2 müsste da dran vorbei gefahren sein,2
1721,MC,nach den Fotos müsste die verletzte Person am linken Hochofen liegen und die UGV 2 müsste da dran vorbei gefahren sein,und zwar zwischen der Halle hier wo wir sind und dem Hochofen,2
1722,MC,und zwar zwischen der Halle hier wo wir sind und dem Hochofen,da müsste die Person liegen,2
1723,UAV,da müsste die Person liegen,der Einsatleiter vom Operator UAV kommen,4
1724,TL,der Einsatleiter vom Operator UAV kommen,ich hör' dich,5
1725,UAV,ich hör' dich,also derzeit sind wir nicht startbereit mit der UAV,2
1726,UAV,also derzeit sind wir nicht startbereit mit der UAV,weil es noch zu sehr regnet,2
1727,TL,weil es noch zu sehr regnet,hab verstanden,2
1728,TL,hab verstanden,UGV 1 UGV 2 seid ihr startklar?,3
1729,UGV-1,UGV 1 UGV 2 seid ihr startklar?,ja ich rolle bereits,7
1730,UGV-2,ja ich rolle bereits,ja ich rolle auch schon,7
1731,TL,ja ich rolle auch schon,verstanden,2
1732,TL,verstanden,UGV 1 hast du schon ein Bild gemacht?,3
1733,UGV-1,UGV 1 hast du schon ein Bild gemacht?,ist negativ noch nicht,0
1734,TL,ist negativ noch nicht,dann bitte mal eins gerade vorweg,1
1735,UGV-2,dann bitte mal eins gerade vorweg,Teamleader von UGV 2,4
1736,TL,Teamleader von UGV 2,hör' dich,5
1737,UGV-2,hör' dich,ja ich hab ein grünes Fass ausgemacht und Rauch,2
1738,UGV-2,ja ich hab ein grünes Fass ausgemacht und Rauch,hab dir ein Bild gemacht und geteilt,2
1739,TL,hab dir ein Bild gemacht und geteilt,verstanden,2
1740,UGV-1,verstanden,Teamleader von UGV 1,4
1741,UGV-1,Teamleader von UGV 1,starke Rauchentwicklung vor mir,2
1742,UGV-1,starke Rauchentwicklung vor mir,ich mach ein Foto und schick's dir,2
1743,TL,ich mach ein Foto und schick's dir,Teamleader verstanden,2
1744,UGV-2,Teamleader verstanden,Teamleader von UGV 2,4
1745,UGV-2,Teamleader von UGV 2,im ersten Obergeschoss ein grünes Fass und starke Rauchentwicklung,2
1746,TL,im ersten Obergeschoss ein grünes Fass und starke Rauchentwicklung,ja verstanden,2
1747,TL,ja verstanden,Bild hast du verschickt?,3
1748,UGV-2,Bild hast du verschickt?,korrekt,7
1749,UGV-1,korrekt,Teamleader von UGV 1,4
1750,UGV-1,Teamleader von UGV 1,ich verlasse das Erdgeschoss und gehe ins erste Obergeschoss,2
1751,TL,ich verlasse das Erdgeschoss und gehe ins erste Obergeschoss,Teamleader verstanden,2
1752,TL,Teamleader verstanden,UGV 2 von Teamleader,4
1753,UGV-2,UGV 2 von Teamleader,hört,5
1754,TL,hört,hast du eine Möglichkeit dass Fass näher zu identifizieren was da drin ist?,3
1755,UGV-2,hast du eine Möglichkeit dass Fass näher zu identifizieren was da drin ist?,ja warten,7
1756,UGV-1,ja warten,Teamleader von UGV 1,4
1757,UGV-1,Teamleader von UGV 1,ich habe die Nebelmaschine gefunden,2
1758,TL,ich habe die Nebelmaschine gefunden,ja verstanden,2
1759,TL,ja verstanden,mach mal ein Foto,1
1760,TL,mach mal ein Foto,UGV 2 von Teamleader kommen,4
1761,UGV-2,UGV 2 von Teamleader kommen,hört,5
1762,TL,hört,Frage gerade: aktueller Standort?,3
1763,UGV-2,Frage gerade: aktueller Standort?,im ersten Obergeschoss vor einem Hochofen rechtsseitig ein grünes Fass und Rauchentwicklung,2
1764,UGV-1,im ersten Obergeschoss vor einem Hochofen rechtsseitig ein grünes Fass und Rauchentwicklung,Teamleader UGV 1,4
1765,TL,Teamleader UGV 1,Teamleader hört,5
1766,UGV-1,Teamleader hört,ja ich hab 'n blaues Fass gefunden mit Aufschrift,2
1767,UGV-1,ja ich hab 'n blaues Fass gefunden mit Aufschrift,hab dir ein Foto geschickt und werde mich dem jetzt nähern,2
1768,TL,hab dir ein Foto geschickt und werde mich dem jetzt nähern,UGV 1 von Teamleader,4
1769,TL,UGV 1 von Teamleader,UGV 1 von Teamleader kommen,4
1770,UGV-1,UGV 1 von Teamleader kommen,ich höre,5
1771,TL,ich höre,kommst du näher an das blaue Fass dass wir eine Erkennung haben?,3
1772,UGV-1,kommst du näher an das blaue Fass dass wir eine Erkennung haben?,ja ich fahr' gerade näher,7
1773,UGV-1,ja ich fahr' gerade näher,Teamleader von UGV 1,4
1774,TL,Teamleader von UGV 1,UGV 1?,5
1775,UGV-1,UGV 1?,ja es handelt sich um einen blauen Kanister der aufrecht steht verschlossen ist mit dem Inhalt Otalin,2
1776,UGV-1,ja es handelt sich um einen blauen Kanister der aufrecht steht verschlossen ist mit dem Inhalt Otalin,ich hab ein Foto gemacht und schick's dir,2
1777,TL,ich hab ein Foto gemacht und schick's dir,verstanden,2
1778,UGV-1,verstanden,von außen keine Gefahrensymbole von der Vorderseite,2
1779,UGV-1,von außen keine Gefahrensymbole von der Vorderseite,ich werde jetzt noch die rechte Seite erkunden,2
1780,TL,ich werde jetzt noch die rechte Seite erkunden,zu allen Roboter mal kurz Stop,1
1781,TL,zu allen Roboter mal kurz Stop,UAV für Einsatzleiter,4
1782,UGV-1,UAV für Einsatzleiter,können wir weitermachen?,3
1783,TL,können wir weitermachen?,warten,0
1784,TL,warten,UAV für Teamleader,4
1785,UAV,UAV für Teamleader,UAV hört,5
1786,TL,UAV hört,Frage: Einsatzbereitschaft?,3
1787,UAV,Frage: Einsatzbereitschaft?,negativ,0
1788,TL,negativ,melden wenn Einsatzbereitschaft gegeben,1
1789,UAV,melden wenn Einsatzbereitschaft gegeben,verstanden,2
1790,UGV-1,verstanden,Teamleader von UGV 1,4
1791,TL,Teamleader von UGV 1,Teamleader hört,5
1792,UGV-1,Teamleader hört,ja Frage: kommen meine Fotos an?,3
1793,TL,ja Frage: kommen meine Fotos an?,warten,6
1794,UGV-1,warten,müsste ein blauer Kanister sein,2
1795,UGV-1,müsste ein blauer Kanister sein,ich habe weiterhin eine grüne Tonne mit einer drauf befindlichen Flasche gefunden,2
1796,UGV-2,ich habe weiterhin eine grüne Tonne mit einer drauf befindlichen Flasche gefunden,auf dem Weg zu der Tonne mit der Flasche obendrauf da befinde ich mich gerade,2
1797,UGV-1,auf dem Weg zu der Tonne mit der Flasche obendrauf da befinde ich mich gerade,ja okay dann müsste ich dich ja sehen,2
1798,UGV-1,ja okay dann müsste ich dich ja sehen,der steht ja vor die Nebelmaschine?,3
1799,UGV-2,der steht ja vor die Nebelmaschine?,ne ich bin vor diesem Hochofen der mehrere Bullaugen hat,2
1800,UGV-2,ne ich bin vor diesem Hochofen der mehrere Bullaugen hat,sag ich mal ne,0
1801,UGV-2,sag ich mal ne,und da bin ich auf einer Seite vom Geländer,2
1802,UGV-2,und da bin ich auf einer Seite vom Geländer,ich umfahre jetzt diese Bullaugen und müsste dann direkt vor dem Fass stehen,2
1803,UGV-1,ich umfahre jetzt diese Bullaugen und müsste dann direkt vor dem Fass stehen,ja das ist negativ,0
1804,UGV-1,ja das ist negativ,ich stehe vor dem Fass,2
1805,UGV-1,ich stehe vor dem Fass,so kannst du auf deiner Seite bleiben,2
1806,UGV-2,so kannst du auf deiner Seite bleiben,na ja gut dann mach du ein Foto von dem Fass,7
1807,UGV-2,na ja gut dann mach du ein Foto von dem Fass,und ich drehe um und erkunde die andere Seite,2
1808,TL,und ich drehe um und erkunde die andere Seite,UGV 1 von Teamleader kommen,4
1809,UGV-1,UGV 1 von Teamleader kommen,kommen Sie,5
1810,TL,kommen Sie,Frage: hast du ein Foto von dem grünen Fass gemacht?,3
1811,UGV-1,Frage: hast du ein Foto von dem grünen Fass gemacht?,ja ist korrekt,7
1812,UGV-1,ja ist korrekt,grüne Fass mit Flasche drauf,2
1813,UGV-1,grüne Fass mit Flasche drauf,werde aber jetzt auch mal die rückwärtige Seite des Fasses erkunden,2
1814,TL,werde aber jetzt auch mal die rückwärtige Seite des Fasses erkunden,UGV 1 damit warten,1
1815,UGV-1,UGV 1 damit warten,also ich stehe jetzt genau vor dem Fass,2
1816,UGV-1,also ich stehe jetzt genau vor dem Fass,ich werde nochmal ein Foto machen und dir schicken,2
1817,UGV-2,ich werde nochmal ein Foto machen und dir schicken,können wir weiterfahren oder warten wir noch?,3
1818,TL,können wir weiterfahren oder warten wir noch?,ja können weiter fahren,2
1819,TL,ja können weiter fahren,UGV 1 aber warten,1
1820,UGV-1,UGV 1 aber warten,ja das verstanden,7
1821,UGV-1,ja das verstanden,weitere Foto von grünen Fass mit grüner Flasche drauf wurde dir entsandt,2
1822,UGV-2,weitere Foto von grünen Fass mit grüner Flasche drauf wurde dir entsandt,ja UGV 2 ich dreh dann um und erkunde die andere Gebäudeseite,2
1823,TL,ja UGV 2 ich dreh dann um und erkunde die andere Gebäudeseite,Teamleiter verstanden,2
1824,TL,Teamleiter verstanden,UGV 1 von Teamleader,4
1825,UGV-1,UGV 1 von Teamleader,kommen,5
1826,TL,kommen,ja jetzt haben wir die Erkundung der rückwärtigen Seite in nördlicher Bereich,2
1827,UGV-1,ja jetzt haben wir die Erkundung der rückwärtigen Seite in nördlicher Bereich,welche rückwärtige Seite vom Fass?,3
1828,UGV-2,welche rückwärtige Seite vom Fass?,Teamleader von UGV 2,4
1829,TL,Teamleader von UGV 2,UGV 2 hört,5
1830,UGV-2,UGV 2 hört,ja von meiner jetztigen Position aus ist quasi aus der Halle raus kein Rauch und keine Gefahren zu erkennen,2
1831,UGV-2,ja von meiner jetztigen Position aus ist quasi aus der Halle raus kein Rauch und keine Gefahren zu erkennen,Frage anderer Auftrag?,3
1832,TL,Frage anderer Auftrag?,mach mal ein Foto zur Orientierung für mich,2
1833,UGV-2,mach mal ein Foto zur Orientierung für mich,hab ich schon,2
1834,UGV-2,hab ich schon,Teamleader von UGV 2,4
1835,TL,Teamleader von UGV 2,UGV warten,6
1836,UGV-2,UGV warten,Teamleader von UGV 2,4
1837,TL,Teamleader von UGV 2,warten,6
1838,TL,warten,UGV 2 von Teamleader kommen,4
1839,UGV-2,UGV 2 von Teamleader kommen,UGV 2 hört,5
1840,UGV-1,UGV 2 hört,Teamleader von UGV 1,4
1841,TL,Teamleader von UGV 1,Teamleader hört,5
1842,UGV-1,Teamleader hört,ja ich hab dir jetzt erneut das Foto geschickt,2
1843,UGV-1,ja ich hab dir jetzt erneut das Foto geschickt,ich konnte beide Rauchquellen identifizieren beides Nebelmaschinen,2
1844,UGV-1,ich konnte beide Rauchquellen identifizieren beides Nebelmaschinen,hab dir jetzt ein Übersichtsfoto geschickt von einmal den blauen Kanister und dem grünen Fass mit der grünen Flasche drauf,2
1845,TL,hab dir jetzt ein Übersichtsfoto geschickt von einmal den blauen Kanister und dem grünen Fass mit der grünen Flasche drauf,das ist verstanden,2
1846,UGV-1,das ist verstanden,jetzt die Frage ob ich mich weiter fortbewegen soll,3
1847,UGV-1,jetzt die Frage ob ich mich weiter fortbewegen soll,ich kann das Fass noch einmal umkreisen und gucken ob es eine Beschriftung drauf ist,2
1848,TL,ich kann das Fass noch einmal umkreisen und gucken ob es eine Beschriftung drauf ist,negativ,0
1849,TL,negativ,UGV 1 UGV 2,4
1850,TL,UGV 1 UGV 2,gab es Möglichkeiten eine Etage weiter nach oben zu kommen?,3
1851,UGV-2,gab es Möglichkeiten eine Etage weiter nach oben zu kommen?,ja UGV 2,7
1852,UGV-2,ja UGV 2,ich hab hier einen Treppenraum,2
1853,TL,ich hab hier einen Treppenraum,nach oben?,3
1854,UGV-2,nach oben?,das ist korrekt,7
1855,TL,das ist korrekt,Möglichkeiten mit dem Bodenroboter da hochzufahren?,3
1856,UGV-2,Möglichkeiten mit dem Bodenroboter da hochzufahren?,ja ich kann das mal probieren,7
1857,TL,ja ich kann das mal probieren,dann Erkundung zweiter Obergeschoss,1
1858,UGV-1,dann Erkundung zweiter Obergeschoss,Teamleader von UGV 1,4
1859,UGV-1,Teamleader von UGV 1,ich muss mich erst mal orientiere und gucken ob ich irgendwo hochkomme,2
1860,UGV-1,ich muss mich erst mal orientiere und gucken ob ich irgendwo hochkomme,zur Zeit hier bei den Fässern kann ich nicht hoch,2
1861,TL,zur Zeit hier bei den Fässern kann ich nicht hoch,verstanden,2
1862,UGV-1,verstanden,UGV 1 Teamleader von UGV 1,4
1863,TL,UGV 1 Teamleader von UGV 1,UGV 1 höre,5
1864,TL,UGV 1 höre,kommen,5
1865,UGV-1,kommen,ja ich hab jetzt das Fass einmal umkreist kann auf dem Fass zwei Gefahrensymbole identifizieren einmal rot mit Flamme brennbar und einmal umweltgefährdend,2
1866,UGV-1,ja ich hab jetzt das Fass einmal umkreist kann auf dem Fass zwei Gefahrensymbole identifizieren einmal rot mit Flamme brennbar und einmal umweltgefährdend,werde davon ein Foto machen und dir zusanden,2
1867,UGV-1,werde davon ein Foto machen und dir zusanden,und eine UN-Nummer kann ich erkennen,2
1868,TL,und eine UN-Nummer kann ich erkennen,verstanden,2
1869,UGV-1,verstanden,es handelt sich um die UN-Nummer 12 03 moment,2
1870,UGV-1,es handelt sich um die UN-Nummer 12 03 moment,Teamleader von UGV 1,4
1871,UGV-1,Teamleader von UGV 1,Fotos sind raus,2
1872,UGV-1,Fotos sind raus,ich kann nur bestätigen UN-Nummer 12 03 Gefahrenzettel leicht entflammbar und umweltgefährdend,2
1873,TL,ich kann nur bestätigen UN-Nummer 12 03 Gefahrenzettel leicht entflammbar und umweltgefährdend,verstanden,2
1874,UGV-1,verstanden,noch als Zusatz dieses Fass scheint nicht auszulaufen,2
1875,UGV-1,noch als Zusatz dieses Fass scheint nicht auszulaufen,steht aufrecht und ist keinerlei Flüssigkeitsaustritt zu erkennen,2
1876,TL,steht aufrecht und ist keinerlei Flüssigkeitsaustritt zu erkennen,verstanden,2
1877,UGV-1,verstanden,ich werde jetzt versuchen ins Obergeschoss zu kommen,2
1878,TL,ich werde jetzt versuchen ins Obergeschoss zu kommen,wiederholen,1
1879,UGV-1,wiederholen,ich werde jetzt auch einen Weg suchen ins Obergeschoss zu kommen,2
1880,TL,ich werde jetzt auch einen Weg suchen ins Obergeschoss zu kommen,ja ist verstanden,2
1881,TL,ja ist verstanden,UGV 2 von Teamleader,4
1882,UGV-2,UGV 2 von Teamleader,UGV 2 hört,5
1883,TL,UGV 2 hört,viel Erfolg mit dem Treppenbesteigen?,3
1884,UGV-2,viel Erfolg mit dem Treppenbesteigen?,ja negativ,0
1885,UGV-2,ja negativ,ich hab hier gerade Probleme mit mir selbst,2
1886,UGV-1,ich hab hier gerade Probleme mit mir selbst,ja hier ist der UGV 1 von Teamleader,4
1887,TL,ja hier ist der UGV 1 von Teamleader,hör dich,5
1888,UGV-1,hör dich,ja ich hab ein weiteres grünes Fass gefunden beim Erkunden der Treppe gefunden in der Nähe von dem anderen aufrecht stehenden Fass festzustellen,2
1889,UGV-1,ja ich hab ein weiteres grünes Fass gefunden beim Erkunden der Treppe gefunden in der Nähe von dem anderen aufrecht stehenden Fass festzustellen,werde dies jetzt fotografieren und einmal um-kreisen um eine Leckage,2
1890,TL,werde dies jetzt fotografieren und einmal um-kreisen um eine Leckage,ja ist verstanden,2
1891,TL,ja ist verstanden,kannst du einmal ein Foto von dem Fass machen in Richtung der Treppe dass man einen Orientierungspunkt hat?,1
1892,UGV-1,kannst du einmal ein Foto von dem Fass machen in Richtung der Treppe dass man einen Orientierungspunkt hat?,ja das kann ich versuchen,7
1893,UGV-1,ja das kann ich versuchen,ich kann höchstens so fotografieren dass ich halt den Hochofen drauf hab',2
1894,TL,ich kann höchstens so fotografieren dass ich halt den Hochofen drauf hab',ja verstanden,2
1895,UGV-1,ja verstanden,ja wir können die Orientierung nehmen von dem ersten Fass von dem ersten Fass geht's ja die Treppe hoch und da stand direkt das erste Fass und davon gesehen dann rechts,2
1896,TL,ja wir können die Orientierung nehmen von dem ersten Fass von dem ersten Fass geht's ja die Treppe hoch und da stand direkt das erste Fass und davon gesehen dann rechts,ja machen wir so,7
1897,UGV-1,ja machen wir so,also ich werde das nachher nachvollziehen können,2
1898,UGV-1,also ich werde das nachher nachvollziehen können,Teamleader von UGV 1,4
1899,TL,Teamleader von UGV 1,Teamleader hört,5
1900,TL,Teamleader hört,ja das zweite Fass ist liegt auf dem Boden ist aber auch augenscheinlich verschlossen läuft nichts aus keine Flüssigkeit läuft aus,2
1901,TL,ja das zweite Fass ist liegt auf dem Boden ist aber auch augenscheinlich verschlossen läuft nichts aus keine Flüssigkeit läuft aus,das ist verstanden,2
1902,UGV-1,das ist verstanden,hab auch davon ein Foto gemacht und dir zugesandt,2
1903,UGV-1,hab auch davon ein Foto gemacht und dir zugesandt,da siehst du im hinteren Bereich des des Fasses auch die Öffnung die Bullaugen des Hochofens also können wir uns daran orientieren,2
1904,TL,da siehst du im hinteren Bereich des des Fasses auch die Öffnung die Bullaugen des Hochofens also können wir uns daran orientieren,wiederholen,1
1905,UGV-1,wiederholen,wenn du das Foto von dem Fass siehst siehst du im hinteren Bereich hinter dem Fass die Bullaugen des Hochofens,2
1906,TL,wenn du das Foto von dem Fass siehst siehst du im hinteren Bereich hinter dem Fass die Bullaugen des Hochofens,verstanden,2
1907,UGV-1,verstanden,ja Teamleader von UGV 1,4
1908,TL,ja Teamleader von UGV 1,UGV 1 kommen,5
1909,UGV-1,UGV 1 kommen,ja Frage: soll ich weiter erkunden? das Fass liegen lassen weiterfahren?,3
1910,TL,ja Frage: soll ich weiter erkunden? das Fass liegen lassen weiterfahren?,UGV 1 UGV 2 kommen,4
1911,UGV-1,UGV 1 UGV 2 kommen,UGV 1 hört,5
1912,UGV-2,UGV 1 hört,UGV 2 hört,5
1913,TL,UGV 2 hört,Maßnahme momentan: warten wir machen hier gerade Übergabe,2
1914,UGV-1,Maßnahme momentan: warten wir machen hier gerade Übergabe,okay,2
1915,UGV-2,okay,hier UGV 2 verstanden,2
1916,TL,hier UGV 2 verstanden,UGV 1 versuch noch in kochsweite ein bisschen nähere Ergebnisse zu kriegen,1
1917,UGV-2,UGV 1 versuch noch in kochsweite ein bisschen nähere Ergebnisse zu kriegen,ja UGV 1 von UGV 2,4
1918,UGV-1,ja UGV 1 von UGV 2,kommen,5
1919,UGV-2,kommen,ja ich hab hier technische Probleme,2
1920,UGV-2,ja ich hab hier technische Probleme,ich kann meine Flipper nicht bewegen und der Laser hat hinter sich,2
1921,UGV-1,ich kann meine Flipper nicht bewegen und der Laser hat hinter sich,ich hab jetzt nochmal ein Foto gesendet wo man das auch seiteliegende Fass und den blauen Kanister so im rückwärtigen Bereich erkennen kann,2
1922,UGV-1,ich hab jetzt nochmal ein Foto gesendet wo man das auch seiteliegende Fass und den blauen Kanister so im rückwärtigen Bereich erkennen kann,da musst du genau hingucken,1
1923,TL,da musst du genau hingucken,kannst du mir weitere Details zu dem liegenden Fass geben? eine Nummer zum Beispiel?,3
1924,UGV-1,kannst du mir weitere Details zu dem liegenden Fass geben? eine Nummer zum Beispiel?,ja das ist negativ,2
1925,UGV-1,ja das ist negativ,das Fass wurde einmal umkreist es liegt wahrscheinlich genau darauf,2
1926,UGV-1,das Fass wurde einmal umkreist es liegt wahrscheinlich genau darauf,ich kann mal versuchen mal es ein bisschen zu drehen,2
1927,TL,ich kann mal versuchen mal es ein bisschen zu drehen,ja verstanden,7
1928,TL,ja verstanden,aber sehr vorsichtig beim Vorgehen,7
1929,UGV-1,aber sehr vorsichtig beim Vorgehen,ja ist verstanden,2
1930,TL,ja ist verstanden,sieht man irgendwo eine Leckage in der Nähe des Fasses?,3
1931,UGV-1,sieht man irgendwo eine Leckage in der Nähe des Fasses?,ja das ist negativ,0
1932,UGV-1,ja das ist negativ,keine Leckage aus dem Fass läuft nichts aus,2
1933,UGV-1,keine Leckage aus dem Fass läuft nichts aus,beide Verschluss-Stopfen sind fest verschlossen,2
1934,TL,beide Verschluss-Stopfen sind fest verschlossen,beide Fässer sind noch nicht beschädigt,2
1935,UGV-1,beide Fässer sind noch nicht beschädigt,da das ist korrekt,2
1936,UGV-1,da das ist korrekt,nur auf dem einen stehenden grünen Fass steht noch eine grüne Flasche,2
1937,TL,nur auf dem einen stehenden grünen Fass steht noch eine grüne Flasche,was kann in der grünen Flasche drin sein?,3
1938,UGV-1,was kann in der grünen Flasche drin sein?,es sieht aus wie Gerolsteiner,2
1939,TL,es sieht aus wie Gerolsteiner,weitere Erkenntnisse um das Fass herum an Leckagen?,3
1940,TL,weitere Erkenntnisse um das Fass herum an Leckagen?,da es ja eine Explosion gewesen ist,2
1941,TL,da es ja eine Explosion gewesen ist,kann man da irgendwo was sehen? sehen wo es ein drittes Fass im Umlauf liegen könnte,3
1942,UGV-1,kann man da irgendwo was sehen? sehen wo es ein drittes Fass im Umlauf liegen könnte,also im Moment kann ich dazu nichts sagen,2
1943,UGV-1,also im Moment kann ich dazu nichts sagen,um diesen beiden Fässern und dem Kanister ist kein Anschein von irgend einer Leckageaber erneut nochmal versuchen muss,2
1944,UGV-1,um diesen beiden Fässern und dem Kanister ist kein Anschein von irgend einer Leckageaber erneut nochmal versuchen muss,ich versuche jetzt noch von dem liegenden Fass die UN-Nummer rauszu'kommen was ich bereits schon gedreht hab was ich,2
1945,TL,ich versuche jetzt noch von dem liegenden Fass die UN-Nummer rauszu'kommen was ich bereits schon gedreht hab was ich,ja verstanden,2
1946,UGV-2,ja verstanden,ja Teamleader von UGV 2,4
1947,TL,ja Teamleader von UGV 2,hört,5
1948,UGV-2,hört,ja ich versuche eigentlich ins zweite Obergeschoss zu kommen,2
1949,UGV-2,ja ich versuche eigentlich ins zweite Obergeschoss zu kommen,aber ich hab hier erhebliche Probleme mit der Technik mein Roboter ist Made in Taiwan,2
1950,TL,aber ich hab hier erhebliche Probleme mit der Technik mein Roboter ist Made in Taiwan,kann man es denn manuell nicht beheben?,3
1951,UGV-2,kann man es denn manuell nicht beheben?,ich glaube nicht,0
1952,TL,ich glaube nicht,UGV 1,4
1953,UGV-1,UGV 1,ja jetzt nicht,6
1954,UGV-1,ja jetzt nicht,Moment mal bitte,6
1955,UGV-1,Moment mal bitte,ja hier ist der UGV 1 von Teamleader,5
1956,UGV-1,ja hier ist der UGV 1 von Teamleader,ich hab das Fass jetzt hier drehen können und festgestellt dass es sich um dasselbe Piktogramm beziehungsweise den selben Piktogramme handelt wie bei dem ersten Fass,2
1957,UGV-1,ich hab das Fass jetzt hier drehen können und festgestellt dass es sich um dasselbe Piktogramm beziehungsweise den selben Piktogramme handelt wie bei dem ersten Fass,weiterhin das Fass nicht beschädigt,2
1958,TL,weiterhin das Fass nicht beschädigt,kann man die Temperatur von dem Fass messen?,3
1959,UGV-1,kann man die Temperatur von dem Fass messen?,negativ,0
1960,TL,negativ,ich will wissen ob die das Fass noch durch die Explosion ein Wärmebaustein ist,3
1961,UGV-1,ich will wissen ob die das Fass noch durch die Explosion ein Wärmebaustein ist,ich sehe ein Fass was einfach nur umgekippt ist keine Leckage,2
1962,UGV-1,ich sehe ein Fass was einfach nur umgekippt ist keine Leckage,ich wollte jetzt mit dem UGV 1 nach oben ins Obergeschoss versuchen,2
1963,UGV-1,ich wollte jetzt mit dem UGV 1 nach oben ins Obergeschoss versuchen,weil da wollte der Tim hin und konnte nicht weiter erkunden wenn das okay ist,2
1964,UGV-1,weil da wollte der Tim hin und konnte nicht weiter erkunden wenn das okay ist,wenn das okay ist,2
1965,TL,wenn das okay ist,ja versuch das mal,7
1966,UGV-1,ja versuch das mal,UGV 2 von UGV 1,4
1967,UGV-2,UGV 2 von UGV 1,hört,5
1968,UAV,hört,Teamleader von der UAV kommen,4
1969,TL,Teamleader von der UAV kommen,Teamleader hört,5
1970,UAV,Teamleader hört,also aufgrund der Wetterlage,2
1971,UAV,also aufgrund der Wetterlage,wäre jetzt ein Inspektionsflug möglich,2
1972,TL,wäre jetzt ein Inspektionsflug möglich,ja dann werden wir jetzt fliegen und versuchen Bilder vor der Unfallstelle aufzunehmen,7
1973,UAV,ja dann werden wir jetzt fliegen und versuchen Bilder vor der Unfallstelle aufzunehmen,welcher Gebäudeteil soll umflogen werden?,3
1974,TL,welcher Gebäudeteil soll umflogen werden?,der mittlere Gebäudeteil,2
1975,UAV,der mittlere Gebäudeteil,das ist verstanden,2
1976,UAV,das ist verstanden,wir müssen jedoch nochmal wieder warten,2
1977,UAV,wir müssen jedoch nochmal wieder warten,weil noch eine Schauerwolke durchläuft,2
1978,TL,weil noch eine Schauerwolke durchläuft,ja verstanden,2
1979,UAV,ja verstanden,wir gehen automatisch in die Operation sobald der Regen nachlässt,2
1980,TL,wir gehen automatisch in die Operation sobald der Regen nachlässt,Gruppe Drohne von Teamleader kommen,4
1981,UAV,Gruppe Drohne von Teamleader kommen,die UAV hört,5
1982,TL,die UAV hört,wie sieht's aus könnt ihr fliegen?,3
1983,UAV,wie sieht's aus könnt ihr fliegen?,noch negativ,0
1984,UAV,noch negativ,im Moment ist wieder zu viel Regen,2
1985,TL,im Moment ist wieder zu viel Regen,ja verstanden,2
1986,TL,ja verstanden,UGV 1 von Teamleader kommen,4
1987,UGV-1,UGV 1 von Teamleader kommen,kommen Sie,5
1988,TL,kommen Sie,UGV 2 erreicht?,3
1989,UGV-1,UGV 2 erreicht?,ja ist negativ,0
1990,UGV-1,ja ist negativ,ich bin einmal jetzt um das Gebäude rum Tim war dat 'ne schräge Treppe,2
1991,UGV-2,ich bin einmal jetzt um das Gebäude rum Tim war dat 'ne schräge Treppe,ja wie so 'ne Stahltreppe halt aussieht ne biegt erst mal einer nach oben weiter konnte ich nicht sehen,2
1992,UGV-2,ja wie so 'ne Stahltreppe halt aussieht ne biegt erst mal einer nach oben weiter konnte ich nicht sehen,weil meine Kamera nicht höher ge-,2
1993,UGV-1,weil meine Kamera nicht höher ge-,ja weil ich stehe vor einer da liegt auch ein Trümmerteil davor,2
