id,speakers,isoda,tokens,tags
1193,UGV-1,Information nachfragen,Frage: zur Rauchentwicklung vorfahren?,3
1194,TL,Kontakt Bestätigung,Augenblick,6
1195,TL,Kontakt Anfrage,Operator 1 für Teamleiter kommen,4
1196,UGV-1,Kontakt Bestätigung,ja hier Operator 1,5
1197,TL,Information geben,der Angriffstrupp steht an der Rauchentwicklung,2
1198,TL,Einsatzbefehl,du sollst zur Rauchentwicklung fahren,1
1199,UGV-1,Zusage,ja ich fahr zur Rauchentwicklung,7
1200,TL,Kontakt Anfrage,UAV Operator für Teamleader kommen,4
1201,TL,Kontakt Anfrage,Lena für Benno?,4
1202,UAV,Kontakt Bestätigung,Lena hört,5
1203,TL,Sonstiges,du hattest mich angesprochen?,3
1204,UAV,Information geben,ja ich hätte jetzt einmal ein Luftbild von oben einmal eins zu Übersicht das schicke ich dir jetzt,2
1205,TL,Sonstiges,verstanden,2
1206,TL,Einsatzbefehl,Operator 1 schickst du mir die Bilder auch einmal rüber die du gemacht hast?,1
1207,UGV-1,Information geben,ja das erste Bild hab ich dir gerade schon gesch-,2
1208,TL,Einsatzbefehl,Operator 1 schickst du mir das nochmal rüber,1
1209,TL,Sonstiges,ich habe nichts gekriegt hier,2
1210,UGV-1,Kontakt Bestätigung,ja ich schicke,7
1211,UGV-1,Kontakt Anfrage,Teamleader vom Operator 1,4
1212,TL,Kontakt Bestätigung,ich höre,5
1213,UGV-1,Information geben,das Bild müsstest du schon haben,2
1214,TL,Sonstiges,ja verstanden,2
1215,TL,Information geben,hab kein Bild,2
1216,UAV,Kontakt Anfrage,Teamleiter 1 für UAV Operator,4
1217,TL,Kontakt Anfrage,Operator 1 für Teamleader kommen,4
1218,UGV-1,Kontakt Bestätigung,hier Operator 1,5
1219,TL,Information nachfragen,Frage: Standort Roboter?,3
1220,UGV-1,Information geben,ist gerade die erste Treppe nach oben gefahren zur Rauchentwicklung ich erkunde dort im ersten Raum,2
1221,TL,Einsatzbefehl,die linke Treppe oder die rechte Treppe auf dein'm Foto?,3
1222,UGV-1,Information geben,die rechte Treppe wo die Rauchentwicklung zu sehen war,2
1223,TL,Zusage,das heißt du bist da rechts abgebogen in den Raum rein richtig?,3
1224,UGV-1,Zusage,das ist richtig,7
1225,UGV-1,Information geben,und da bin ich gerade am Anfangen,2
1226,TL,Information geben,ja - Auftrag war sich mit dem Angriffstrupp zu treffen zunächst,2
1227,UGV-1,Information geben,ja Angriffstrupp war nicht vor Ort,2
1228,TL,Zusage,ja dann möchte ich dort eine Meldung haben,1
1229,TL,Zusage,dann kümmere ich mich darum,2
1230,TL,Kontakt Bestätigung,Augenblick,6
1231,TL,Kontakt Anfrage,UAV Operator für Teamleader kommen,4
1232,UAV,Kontakt Bestätigung,UAV Operator hört,5
1233,TL,Kontakt Bestätigung,du hattest mich gerufen?,3
1234,UAV,Kontakt Bestätigung,ja,7
1235,UAV,Information geben,wir haben einmal den Akku gewechselt bis jetzt noch kein Rauch festzustellen aber wir haben eine Person gefunden,2
1236,UAV,Information geben,ich schick dir jetzt das Foto,2
1237,TL,Sonstiges,ja,7
1238,TL,Kontakt Bestätigung,Könnten -,6
1239,TL,Information geben,darauf kann ich sehen wo der Standort ist?,3
1240,UAV,Zusage,müsste zu erkennen sein,7
1241,UAV,Sonstiges,ja verstanden,2
1242,UGV-1,Kontakt Anfrage,der Teamleadaer von Operator 1 kommen,4
1243,TL,Kontakt Bestätigung,ich höre,5
1244,UGV-1,Information geben,also - ich bin jetzt oben im ersten Raum auch hier ist der Angriffstrupp nicht vorzufinden,2
1245,UGV-1,Einsatzbefehl,Frage: Raum weiter erkunden?,3
1246,TL,Zusage,ja richtig,7
1247,TL,Information geben,der Angriffstrupp musste raus,2
1248,TL,Information geben,der hatt' keine Luft mehr den Raum weiter erkunden,2
1249,UGV-1,Sonstiges,ja ist verstanden,2
1250,TL,Kontakt Anfrage,Lena für Benno,4
1251,UAV,Kontakt Bestätigung,Lena hört,5
1252,TL,Einsatzbefehl,Lena jetzt sag mir mal genau den Standort dieser Person,3
1253,UAV,Information geben,ich schick dir eben noch zwei andere Fotos da müsstest du es besser erkennen,2
1254,UAV,Zusage,das ist könnte aber eventuell eine andere Person sein,2
1255,TL,Sonstiges,ja habe verstanden,2
1256,UAV,Kontakt Anfrage,Benno für Lena,4
1257,TL,Kontakt Bestätigung,ich höre,5
1258,UAV,Information geben,ich habe jetzt bei der zweiten Person auch eventuell Rauch gefunden,2
1259,TL,Information_nachfragen,du hast mir jetzt ein weiteres Foto geschickt ist das richtig?,3
1260,UAV,Information geben,ich habe drei geschickt,7
1261,UAV,Kontakt Anfrage,Benno für Lena,4
1262,TL,Kontakt Anfrage,Operator 2 für Teamleader kommen,4
1263,UGV-2,Kontakt Bestätigung,Operator 2 hört,5
1264,TL,Einsatzbefehl,folgenden Auftrag: den gleichen Weg nehmen wie Operator 1,1
1265,TL,Einsatzbefehl,Auftrag ist: Erkundung nach weiteren Zugangsmöglichkeiten nach Verletzten,1
1266,TL,Einsatzbefehl,schau auch mal wie weit die Rauchentwicklung da ausgedehnt ist,1
1267,UGV-2,Sonstiges,ja ist soweit verstanden,7
1268,UGV-1,Kontakt Anfrage,der Teamleader von Operator 1,4
1269,TL,Kontakt Bestätigung,ich höre,5
1270,UGV-1,Information geben,im ersten großen Raum eine Person gefunden,2
1271,TL,Sonstiges,prima,2
1272,TL,Information geben,ich schick dir den Angriffstrupp,2
1273,TL,Information geben,Operator 1 der Angriffstrupp ist unterwegs,2
1274,TL,Information_nachfragen,rechte Treppe hoch rechts in den Raum rein korrekt?,3
1275,UGV-1,Zusage,ja richtig so,7
1276,TL,Sonstiges,verstanden,2
1277,UAV,Kontakt Anfrage,Benno für Lena,4
1278,TL,Kontakt Bestätigung,höre,5
1279,UAV,Information geben,ich habe Rauch gefunden und weitere Personen,2
1280,UAV,Kontakt Anfrage,schi-,6
1281,UAV,Information geben,ich versuch dir nochmal die Bilder zu schicken,2
1282,TL,Sonstiges,ja verstanden,2
1283,TL,Kontakt Bestätigung,bin - ich – k-,6
1284,TL,Information geben,kann da noch nichts lokalisieren auch anhand der großen Karte wo genau diese Personen sich befinden,2
1285,UAV,Sonstiges,ja das habe ich verstanden,2
1286,TL,Kontakt Anfrage,Operator 1 für Teamleader kommen,4
1287,UGV-1,Kontakt Bestätigung,ja ich höre dich,5
1288,TL,Information nachfragen,hast du von der Person ein Foto gemacht und mir geschickt?,3
1289,TL,Kontakt Bestätigung,Fo-,6
1290,UGV-1,Information geben,ja Foto gemacht habe ich,7
1291,UGV-1,Sonstiges,ich weiß bloß nicht ob es angekommen ist,2
1292,TL,Information nachfragen,ist das der Mensch der da an einem Pfeiler hockt?,3
1293,UGV-1,Zusage,ganz genau,7
1294,TL,Sonstiges,phantastisch,2
1295,UAV,Kontakt Anfrage,Benno für Lena,4
1296,TL,Kontakt Bestätigung,ich höre Lena,5
1297,UAV,Information geben,also - die Person müsste hinter dem großen Hochofen auf dem freien Weg sein,2
1298,UAV,Information geben,der Akku ist jetzt leer,2
1299,UAV,Information geben,wir müssen jetzt auch landen und warten am Boden auf weitere Anweisungen,2
1300,TL,Sonstiges,ja verstanden,2
1301,TL,Information nachfragen,ist das welcher Hochofen ist es der rechte oder der linke von uns aus gesehen?,3
1302,UAV,Information geben,der eine ist nur das Gerüst und der andere ist voll ich meine den vollen,2
1303,TL,Information nachfragen,ist das der der von dir weiter entfernt ist?,3
1304,UAV,Zusage,ja das ist richtig,7
1305,TL,Sonstiges,hab ich verstanden,2
1306,TL,Einsatzbefehl,neuer Auftrag ist: Akku tauschen damit die Drohne wieder fliegen kann,1
1307,UAV,Sonstiges,ja das habe ich verstanden,7
1308,UGV-1,Kontakt Anfrage,der Teamleader von Operator 1 kommen,4
1309,TL,Kontakt Bestätigung,ich höre,5
1310,UGV-1,Information nachfragen,ja Frage: soll ich nach weiteren Personen suchen?,3
1311,TL,Sonstiges,ja klar,7
1312,TL,Zusage,einen Augenblick ich melde mich gleich,6
1313,TL,Information geben,erst muss der Angriffstrupp da gewesen sein,2
1314,UGV-1,Sonstiges,ja verstanden,2
1315,UAV,Kontakt Anfrage,Benno für Lena,4
1316,UAV,Information geben,wir sind jetzt wieder startklar,2
1317,TL,Zusage,Lena sag nochmal die letzte Meldung hab ich nicht mitgekriegt,3
1318,UAV,Information geben,wir sind jetzt wieder startklar,2
1319,UAV,Information geben,neuer Akku ist bereit,2
1320,TL,Sonstiges,ja,2
1321,TL,Zusage,ich melde mich sofort,2
1322,TL,Kontakt Anfrage,Operator 1 für Teamleader kommen,4
1323,UGV-1,Kontakt Bestätigung,hier Operator 1,5
1324,TL,Information_nachfragen,der Raum ist vollständig abgesucht?,3
1325,UGV-1,Kontakt Anfrage,bis zum Opfer auf jeden Fall,7
1326,TL,Information nachfragen,gibt es noch mehr Raum der noch nicht abgesucht ist?,3
1327,UGV-1,Kontakt Bestätigung,ja,7
1328,UGV-1,Information geben,der Bereich hinter dem Pfeiler also hinter dem Teil wo die Person war,2
1329,TL,Kontakt Bestätigung,jo,2
1330,TL,Einsatzbefehl,dann bitte weiter suchen,1
1331,UGV-1,Sonstiges,ja ist verstanden,7
1332,TL,Kontakt Anfrage,Operator 2 für Teamleader kommen,4
1333,TL,Kontakt Anfrage,Operator 2 für Teamleader kommen,4
1334,UGV-2,Kontakt Bestätigung,ja hört,5
1335,TL,Information nachfragen,wo bist du jetzt? Standort,3
1336,TL,Einsatzbefehl,mach mal Fotos auch,1
1337,TL,Einsatzbefehl,wenn du was findest dass man den Weg nachvollziehen kann,2
1338,UGV-2,Kontakt Bestätigung,ja mach ich,7
1339,UGV-2,Information geben,ich bin gerade dabei einfach schon mal Richtung den Weg zu kommen wo der Operator 1 lang gefahren ist,2
1340,TL,Sonstiges,ja,2
1341,TL,Information geben,dein Auftrag ist an diesem Raum vorbei wo der Operator 1 drin ist und da ab da weiter zu suchen nach Menschen,1
1342,UGV-2,Kontakt Bestätigung,ja,7
1343,UGV-2,Sonstiges,und das Fass hast du gesagt da soll ich dran vorbei fahren ne?,3
1344,TL,Zusage,ja korrekt,7
1345,TL,Information geben,das Fass das steht dort irgendwo das war nur zur Orientierung,2
1346,TL,Einsatzbefehl,aber mach mir mal ein Foto von dem Fass,1
1347,UGV-2,Zusage,ja mache ich,7
1348,TL,Kontakt Anfrage,Lena für Benno kommen,4
1349,UAV,Kontakt Bestätigung,Lena hört,5
1350,TL,Information geben,Lena du hast alle Fotos jetzt von einer Stelle aus gemacht,2
1351,TL,Information geben,ich möchte mal dass du mit der Drohne jetzt weiter fliegst zum anderen Hochofen quasi von der anderen Seite der Einsatzstelle aus Fotos machst,1
1352,TL,Kontakt Anfrage,mit der - mit der Drohne,6
1353,TL,Einsatzbefehl,und guckst ob du von dort aus noch Personen erkennen kannst,1
1354,UAV,Sonstiges,das habe ich verstanden,7
1355,TL,Information nachfragen,Operator 2 wie ist dein Standort?,3
1356,UGV-2,Information geben,wir haben gerade ein kleines technisches Problem,2
1357,UGV-2,Sonstiges,ich melde mich gleich,2
1358,TL,Sonstiges,verstanden,2
1359,UAV,Kontakt Anfrage,Benno für Lena,4
1360,UAV,Kontakt Anfrage,Benno für Lena,4
1361,TL,Kontakt Bestätigung,ich höre,5
1362,UAV,Information geben,ich hab dir gerade ein Übersichtsbild geschickt da erkennt man den gefüllten - also den großen Hochofen sag mir wo du hinmöchtest,2
1363,TL,Einsatzbefehl,dass du dieses Bild nochmal machst aber reinzoomst,1
1364,UAV,Information nachfragen,wo soll ich reinzoomen in den - eher in den Hochofen oder genau in die Mitte?,3
1365,TL,Information_nachfragen,das gleiche Bild was du jetzt gemacht hast da in die Mitte reinzoomen da wo die Rauchentwicklung ist,2
1366,UAV,Sonstiges,das habe ich verstanden,2
1367,TL,Kontakt Anfrage,Operator 1 und 2 für Teamleader kommen,4
1368,UGV-1,Kontakt Bestätigung,hier Operator 1,5
1369,TL,Information nachfragen,wer von euch beiden hat 'n Foto gemacht auf der Treppe?,3
1370,UGV-1,Zusage,ja das habe ich gemacht,2
1371,UAV,Kontakt Anfrage,Benno für Lena,4
1372,TL,Kontakt Bestätigung,ich höre,5
1373,UAV,Information geben,ich hab dir nochmal ein Bild ein herangezoomtes Bild geschickt wo der Qualm besser zu sehen ist aber keine Personen gefunden von dieser Position aus,2
1374,TL,Sonstiges,verstanden,2
1375,TL,Information geben,Lena dann flieg mal mit deinem Fluggerät da weiter ja weiter nach rechts würde ich jetzt erst mal sagen was immer auch rechts sein mag so wie du jetzt guckst quasi in deiner Position in Richtung deiner Position,1
1376,TL,Kontakt Anfrage,Lena für Benno?,4
1377,UAV,Kontakt Bestätigung,Lena hört,5
1378,TL,Einsatzbefehl,flieg mal mit der Drohne genau in die andere Richtung,1
1379,TL,Information geben,ich seh dich auf dem Bildschirm,2
1380,UAV,Information geben,wir müssen gerade den Akku tauschen,2
1381,UAV,Information geben,ich schick dir jetzt noch mal ein Bild von weit oben rechts auf dem Bild was nicht mehr zu sehen ist sind diese drei klein' Hochöfen und links ist der ganz große gefüllte Hochofen,2
1382,UAV,Information geben,genau in der Mitte davon also bei den grünen da kommt der Qualm her,2
1383,TL,Sonstiges,verstanden,2
1384,UGV-1,Kontakt Anfrage,der Teamleader von Operator 1 kommen,4
1385,TL,Kontakt Bestätigung,höre,5
1386,UGV-1,Information geben,ja ich hab den ersten Raum weitestgehend abgesucht gerade so ein bisschen technische Schwierigkeiten,2
1387,UGV-1,Einsatzbefehl,geht's einmal die Treppe noch weiter hoch oder soll ich in der Ebene bleiben und nach weiteren Räumen suchen?,3
1388,TL,Zusage,ich melde mich sofort,2
1389,UGV-1,Sonstiges,ja verstanden,2
1390,UAV,Kontakt Anfrage,Benno für Lena,4
1391,TL,Kontakt Bestätigung,ich höre,5
1392,UAV,Einsatzbefehl,kannst du jetzt nochmal genau beschreiben wo ich hinfliegen sollte?,3
1393,TL,Zusage,ja ich melde mich gleich,2
1394,TL,Kontakt Anfrage,Operator 1 für Teamleader kommen,4
1395,TL,Kontakt Anfrage,Operator 1 für Teamleader kommen,4
1396,TL,Kontakt Anfrage,Operator 2 für Teamleader kommen,4
1397,UGV-2,Kontakt Bestätigung,hört,5
1398,TL,Information nachfragen,was machen die technischen Probleme wieder einsatzbereit?,3
1399,UGV-2,Absage,negativ,0
1400,TL,Sonstiges,verstanden,2
1401,UGV-2,Information geben,wir stehen in der Nähe des grünen Fasses,2
1402,UGV-2,Information geben,also ist das grüne Fass kann ich durch die Kamera sehen aber ich kann ihn nicht verfahren,2
1403,UGV-2,Information geben,das Radar scheint irgendwie nicht richtig zu funktionieren,2
1404,UGV-2,Sonstiges,nicht ge- richtig,6
1405,TL,Information nachfragen,kannst du dich denn noch bewegen?,3
1406,UGV-2,Information geben,ne ich kann hier nichts machen,0
1407,UGV-2,Information geben,es sind ja mit drei vier Technikern die ganze Zeit am PC zugange,2
1408,TL,Sonstiges,alles klar,2
1409,TL,Information_nachfragen,Foto machen geht auch nicht?,3
1410,UGV-2,Kontakt Bestätigung,ne,0
1411,UGV-2,Information geben,ich mache hier gar nichts gerade am Rechner,2
1412,TL,Sonstiges,alles klar,2
1413,UGV-2,Kontakt Anfrage,Teamleader von Operator 2 kommen,4
1414,TL,Kontakt Bestätigung,ich höre,5
1415,UGV-2,Information geben,ja ich gucke mal dass ich dir jetzt ein Foto schicke,2
1416,UGV-2,Information geben,scheint weiter zu gehen bei uns,2
1417,TL,Sonstiges,ja verstanden,2
1418,TL,Kontakt Anfrage,Lena für Benno,4
1419,UAV,Kontakt Bestätigung,Lena hört,5
1420,TL,Einsatzbefehl,wenn du jetzt startest den Hochofen der von euch weiter weg ist - von dort aus hätte ich gerne Bilder aus der Mitte zwischen den Hochöfen,1
1421,UAV,Sonstiges,ja das habe ich verstanden,7
1422,TL,Information nachfragen,immer noch Menschen suchen ne,1
1423,UAV,Sonstiges,ja das habe ich auch verstanden,7
1424,UGV-2,Kontakt Anfrage,ja Benno für den Operator 2 kommen,4
1425,TL,Kontakt Bestätigung,ich höre,5
1426,UGV-2,Zusage,ja hier steht wieder alles,2
1427,TL,Information nachfragen,wo ist denn deine Position jetzt?,3
1428,UGV-2,Information geben,immer noch in der Nähe des grünen Fasses,2
1429,UGV-2,Zusage,aber hier geht im Moment nichts,2
1430,TL,Sonstiges,alles klar,2
1431,TL,Kontakt Anfrage,Lena für Benno,4
1432,UAV,Kontakt Bestätigung,Lena hört,5
1433,TL,Information geben,zwischen den Hochöfen da steht irgendwo ein grünes Fass und da kommt die Rauchentwicklung her,2
1434,TL,Information geben,ich hab im Moment keinen Roboter einsatzbereit,2
1435,TL,Einsatzbefehl,kannst du gucken ob du dieses Fass findest und entsprechende Bilder machst?,1
1436,UAV,Sonstiges,ja das habe ich verstanden,7
1437,UAV,Sonstiges,das hab ich auch verstanden,7
1438,UGV-2,Kontakt Anfrage,so der Benno für Operator 2 kommen,4
1439,TL,Kontakt Bestätigung,ich höre,5
1440,UGV-2,Zusage,ja es geht weiter,2
1441,UGV-2,Information geben,ich habe dir ein Foto geschickt von dem grünen Fass und wo ich mich jetzt gerade befinde,2
1442,TL,Zusage,ja bleib mal da wo du jetzt bist,1
1443,TL,Information_nachfragen,dieses grüne Fass - da ist der Rauch korrekt?,3
1444,UGV-2,Zusage,ja ich weiß,7
1445,UGV-2,Kontakt Bestätigung,ich seh den Rauch ab und zu,2
1446,UGV-2,Information geben,soll ich in die Richtung fahren?,3
1447,TL,Sonstiges,fahr zu dem grünen Fass,7
1448,TL,Einsatzbefehl,und erkunde um dieses grüne Fass herum warum es da raucht,1
1449,UGV-2,Sonstiges,ja verstanden,7
1450,TL,Kontakt Anfrage,Operator 2 für Teamleader,4
1451,UGV-2,Sonstiges,melde mich sofort,6
1452,TL,Kontakt Anfrage,so der Benno an alle,4
1453,TL,Kontakt Bestätigung,Übungsende,2
1454,TL,Information geben,die Roboter sollen alle zurückfahren und dann treffen wir uns hier,1
1455,TL,Kontakt Anfrage,UGV 1 von Teamleader,4
1456,UGV-1,Kontakt Bestätigung,hier UGV 1 kommen,5
1457,TL,Sonstiges,du bist soweit?,3
1458,UGV-1,Kontakt Bestätigung,ja natürlich,7
1459,TL,Kontakt Anfrage,UGV 2 von Teamleader,4
1460,UGV-2,Kontakt Bestätigung,hier UGV-,6
1461,UGV-2,Kontakt Bestätigung,hier UGV 2,5
1462,TL,Information nachfragen,ihr seid auch soweit?,3
1463,UGV-2,Kontakt Anfrage,sind bereit ja,7
1464,TL,Sonstiges,verstanden,2
1465,TL,Kontakt Anfrage,UAV 1 von Teamleader,4
1466,UAV,Kontakt Bestätigung,hier UAV 1 kommen,5
1467,TL,Information nachfragen,ihr seid auch soweit?,3
1468,UAV,Kontakt Bestätigung,bereit wenn Sie es sind,7
1469,TL,Sonstiges,verstanden,2
1470,TL,Information geben,der Einsatzauftrag kommt wunderbar,2
1471,MC,Kontakt Anfrage,Teamleader von Mission Commander kommen,4
1472,TL,Kontakt Bestätigung,Teamleader hört,5
1473,MC,Einsatzbefehl,wie besprochen Gebiet erkunden rund um die beiden Hochöfen,1
1474,MC,Information geben,vermutlich Explosion oder irgendwas mit Chemikalien,2
1475,MC,Information geben,wir wissen nicht ob es eine Leckage ist oder was Anderes,2
1476,MC,Information geben,Rauchentwicklung ist schon gemeldet worden,2
1477,MC,Information geben,möglicherweise sind dann auch Personen vermisst,2
1478,MC,Zusage,also Personensuche voran- bringen,1
1479,MC,Einsatzbefehl,und dann eventuell noch nach der Schadenursache gucken,1
1480,TL,Sonstiges,das ist verstanden,7
1481,TL,Kontakt Anfrage,an UGV 1 UGV 2 UAV,4
1482,TL,Information geben,kurze Lagedarstellung,2
1483,TL,Information geben,es gab ein'n Zwischenfall zwischen zwei Hochöfen,2
1484,TL,Information geben,dort werden eine oder mehrere Personen vermisst,2
1485,TL,Information geben,eine Rauchentwicklung ist zu erkennen,2
1486,TL,Information geben,und da ist das Einsatzgebiet,2
1487,TL,Kontakt Anfrage,Auftrag für die UAV 1,1
1488,TL,Kontakt Bestätigung,hören Sie mit?,4
1489,UAV,Kontakt Bestätigung,UAV hört,5
1490,TL,Zusage,genau,2
1491,TL,Kontakt Anfrage,Auftrag für die UAV 1,1
1492,TL,Information geben,ich brauch' einmal ein Lagebild von oben wo das komplette Objekt abgebildet wird und dann speziell ein Foto zwischen den beiden Türen,1
1493,TL,Sonstiges,verstanden?,3
1494,UAV,Sonstiges,ein Lagebild von oben komplette Lage und ein Lagebild zwischen den beiden Türen verstanden,7
1495,TL,Zusage,das ist korrekt,2
1496,TL,Einsatzbefehl,bitte auch per Infrarot bitte,1
1497,TL,Einsatzbefehl,auf Menschen und sonstige Ereignisse scannen,1
1498,UAV,Information geben,ja beide Bilder in Infrarot ebenfalls,7
1499,TL,Zusage,korrekt,2
1500,TL,Kontakt Anfrage,UGV 1 von Teamleader?,4
1501,UGV-1,Kontakt Anfrage,UGV 1 kommen,5
1502,TL,Information geben,ja Ihr Auftrag ist in das Objekt reinzufahren und den Schadensort zu scannen zu bebildern,1
1503,UGV-1,Sonstiges,ja verstanden,7
1504,UGV-1,Kontakt Bestätigung,ich fahr rein,2
1505,TL,Kontakt Anfrage,UGV 2 von Teamleader?,4
1506,UGV-2,Kontakt Anfrage,UGV 2 kommen,5
1507,TL,Einsatzbefehl,ebenfalls Ihr Auftrag vom Westen her Richtung Osten die Einsatzstelle anfahren mir Ihrem UGV und Kontrolle ob Menschen zu erkennen sind beziehungsweise ob irgend ein Schadensereignis zu erkennen ist,1
1508,UGV-2,Sonstiges,verstanden,7
1509,TL,Kontakt Anfrage,Mission Commander von Teamleader,4
1510,MC,Kontakt Bestätigung,kommen Sie,5
1511,TL,Sonstiges,ja,6
1512,TL,Information geben,erste Maßnahmen eingeleitet wir erstellen ein Lagebild mit der Drohne von oben und per Infrarot,2
1513,TL,Kontakt Anfrage,des Weiteren die zwei UGVs eingeteilt die fahren vor zum Schadensereignis zwecks Menschensuche und weitere Lagedarstellung,2
1514,MC,Sonstiges,verstanden,2
1515,MC,Kontakt Anfrage,Teamleader von Mission Commander kommen,4
1516,TL,Kontakt Bestätigung,Teamleader hört,5
1517,MC,Information nachfragen,welcher Roboter ist jetzt für die Verletztensuche eingeteilt?,3
1518,TL,Kontakt Anfrage,UGV 1 und UGV 2,2
1519,TL,Einsatzbefehl,die suchen Verletzte ein- feststellen,6
1520,TL,Einsatzbefehl,die suchen Verletzte feststellen was da genau los ist,2
1521,MC,Sonstiges,ja verstanden,2
1522,MC,Kontakt Anfrage,Teamleader von Mission Commander kommen,4
1523,TL,Kontakt Bestätigung,Teamleader hört,5
1524,MC,Information nachfragen,Bild von der UAV eingetroffen?,3
1525,TL,Zusage,ja das erste Bild,7
1526,UGV-1,Kontakt Anfrage,Teamleader von UGV 1,4
1527,TL,Kontakt Bestätigung,Teamleader hört,5
1528,UGV-1,Information geben,Rauchentwicklung erste Treppe nach oben,2
1529,UGV-1,Information geben,ich schick dir mal ein Screenshot,2
1530,TL,Zusage,korrekt,7
1531,TL,Zusage,und wenn weitere Erkenntnis das auch melden,1
1532,MC,Kontakt Anfrage,Teamleader von Mission Commander kommen,4
1533,TL,Kontakt Bestätigung,Teamleader hört,5
1534,MC,Information geben,aus dem ersten Foto von der UAV mit der Übersicht ist da so ein heller Fleck zu sehen,2
1535,MC,Einsatzbefehl,vielleicht kann man nochmal dran zoomen,1
1536,MC,Information geben,ich weiß nicht was das ist - ob das jetzt eine Person ist oder - das ist,6
1537,MC,Information geben,ich weiß nicht was das ist - ob das jetzt eine Person ist das ist unten am unteren Rand da ist ein [<unintelligible>],2
1538,MC,Kontakt Bestätigung,kommen,4
1539,UGV-1,Kontakt Anfrage,Teamleader von UGV 1 kommen,4
1540,TL,Kontakt Bestätigung,Teamleader hört,5
1541,UGV-1,Information geben,ja ich werde jetzt die Treppe mal hochfahren und weiter erkunden oben,2
1542,TL,Sonstiges,ja,7
1543,TL,Sonstiges,ja verstanden,2
1544,TL,Information_nachfragen,UGV 1 ist das die erste Etage oder so ne - nur fünf Stufen?,3
1545,UGV-1,Information geben,ja zwölf Metallstufen,2
1546,TL,Sonstiges,verstanden,2
1547,TL,Einsatzbefehl,mach mal ein Foto davon,1
1548,UGV-2,Kontakt Anfrage,Teamleader für UGV 2 kommen,4
1549,TL,Kontakt Bestätigung,Teamleader hört,5
1550,UGV-2,Information geben,ich bin jetzt auch in der Nähe vom Hochofen angekommen ich sehe Rauchentwicklung und auch einen umgestürtzten blauen Kanister,2
1551,UGV-2,Information geben,ich schicke Ihnen gleich mal ein Screenshot drüber,2
1552,TL,Zusage,ja genau,7
1553,TL,Einsatzbefehl,bitte darauf achten eine Bezeichnung auf dem Kanister zu erkennen,1
1554,UGV-2,Sonstiges,verstanden,7
1555,MC,Kontakt Anfrage,Teamleader von Mission Commander kommen,4
1556,TL,Kontakt Bestätigung,Teamleader hört,5
1557,MC,Information nachfragen,liegen irgend welche Erkenntnisse nochmal vor inwiefern die Strukturen noch stabil genug sind um Eingriffstrupp reinzuschicken?,3
1558,TL,Kontakt Anfrage,UGV 1 UGV 2,4
1559,TL,Information nachfragen,könnt ihr abschätzen ob das Gebäude noch Tragfähigkeit hat?,3
1560,UGV-2,Kontakt Anfrage,Teamleader für UGV2 kommen,4
1561,UGV-2,Kontakt Anfrage,Teamleader für UGV2 kommen,4
1562,TL,Kontakt Bestätigung,Teamleader hört,5
1563,UGV-2,Information geben,ich habe jetzt d- den Kanister gefunden es handelt sich um Otalin Pera-cet zirka 20 bis 30 liter Fassungsvermögen es scheint auch eine Leckage da zu sein,2
1564,UGV-2,Kontakt Bestätigung,d- den Kanister,6
1565,UGV-2,Information geben,darüber hinaus habe ich auch - sehe ich auch Teile v-vom Gebäude hier liegen also es - ist - die strukturelle Integrität könnte gefährdet sein,2
1566,UGV-2,Kontakt Bestätigung,darüber hinaus habe ich auch - sehe ich auch,6
1567,UGV-2,Information geben,v-vom Gebäude,6
1568,UGV-2,Information nachfragen,also es - ist - die strukturelle Integrität könnte gefährdet sein,6
1569,TL,Sonstiges,ja verstanden,2
1570,TL,Kontakt Anfrage,Mission Commander von Teamleader,4
1571,MC,Kontakt Bestätigung,kommen Sie,5
1572,TL,Information geben,ja diese Substanz wurde gefunden ein Foto folgt,2
1573,MC,Sonstiges,ja verstanden,2
1574,UGV-2,Kontakt Anfrage,Teamleader für UGV2,4
1575,UGV-2,Information geben,ich habe jetzt ein Foto gemacht und geschickt vom Conta- von dem Kanister,2
1576,UGV-2,Kontakt Anfrage,vom Conta- von dem Kanister,6
1577,TL,Sonstiges,verstanden,2
1578,MC,Kontakt Anfrage,Teamleader v-von Mission Commander kommen,4
1579,MC,Kontakt Anfrage,v-von,6
1580,TL,Kontakt Bestätigung,Teamleader hört,5
1581,MC,Information nachfragen,sind schon Verletzte gefunden worden?,3
1582,TL,Information geben,bisher noch nicht wir haben eine Erkenntnis auf auf einem Foto dem gehen wir jetzt nach,2
1583,UGV-2,Kontakt Anfrage,Teamleader für UGV2 kommen,4
1584,UGV-2,Kontakt Anfrage,Teamleader für UGV2 kommen,4
1585,UGV-2,Kontakt Anfrage,Teamleader für UGV2 kommen,4
1586,UAV,Kontakt Anfrage,Teamleader von UAV-Operator kommen,4
1587,UAV,Kontakt Bestätigung,Teamleader,5
1588,MC,Kontakt Anfrage,Teamleader von Mission Commander kommen,4
1589,TL,Kontakt Bestätigung,Teamleader hört,5
1590,MC,Information geben,Foto von dem blauen Kanister ist eingetroffen,2
1591,MC,Information geben,auf Nachfrage handelt es sich um Kraftstoff,2
1592,MC,Information nachfragen,Frage ist der Kanister defekt hat eine Leckage oder ist er noch dicht?,3
1593,TL,Kontakt Bestätigung,ich klär das,2
